Bloco de Linhas,Bloco Pré-processado,Sentimento
"Na Zona Sul, ei, ei Essa é dedicada para todos os MC's do Brasil Que veio do sofrimento rimando E exercendo a profissão perigo","zon sul , ei , ei dedic tod mc 's brasil vei sofr rim exerc profiss perig",Neutro
"É tudo nosso, tudo nosso, tudo nosso Quem é você que fala o que quer? Que se esconde igual mulher por trás da caneta","tud , tud , tud fal qu ? escond igual mulh trá canet",Negativo
"Vai, Zé Buceta Sai da sombra Cai, então toma, seu mundo é o chão Quem tem cu tem medo e treme","vai , zé bucet sai sombr cai , ent tom , mund chã cu med trem",Negativo
"Mostra a cara Mister M Vem pra ver como é bom Poder chegar na alta cúpula e entrar sem pagar Simpatia, promessas vazias, caô caô","mostr car mist m vem pra ver bom pod cheg alt cúpul entr pag simpat , promess vaz , caô caô",Neutro
"Nem vem, nem vem Sofredor aqui tem sensor Não tem rei, não tem réu","vem , vem sofr aqu sensor rei , réu",Negativo
"Pai de mel bam, bam, bam Quem age certo é que fala, é que pam Andarilho ou idoso ou bom criminoso igual Depois da pólvora não tem cabuloso","pai mel bam , bam , bam age cert fal , pam andarilh idos bom crimin igual pólv cabul",Neutro
"Eu nunca quis, nem vou agradar todo mundo e rir pra tudo Quanto é que se diz vagabundo? O rei dos reis foi traído na terra Morrer como o homem é o prêmio da guerra","nunc quil , vou agrad tod mund rir pra tud quant diz vagabund ? rei reil tra terr morr hom prêmi guerr",Negativo
"Sem menção honrosa sem massagem A vida é loca, nego, nela eu tô de passagem Zum, zum, zum, zum, zum","menç honr mass vid loc , neg , nel tô pass zum , zum , zum , zum , zum",Neutro
Meu cérebro balançou Século XXI Revolução não é pra qualquer um Só quem é,cérebr balanç sécul xxi revoluç pra qualqu,Neutro
"Kamikaze leal, guerreiro de fé Se o rap é um jogo, eu sou jogador nato Errou o rap, é uma guerra e eu sou gladiador pra jogar Pra lutar, pra matar pra morrer sorrindo","kamikaz leal , guerr fé rap jog , jog nat err rap , guerr gladi pra jog pra lut , pra mat pra morr sorr",Neutro
